Column1.country,Column1.square.southwest.lng,Column1.square.southwest.lat,Column1.square.northeast.lng,Column1.square.northeast.lat,Column1.nearestPlace,Column1.coordinates.lng,Column1.coordinates.lat,Column1.words,Column1.language,Column1.map
ZZ,-160.557389,43.066812,-160.557352,43.066839,,-160.55737,43.066826,chest.shady.cannonball,en,https://w3w.co/chest.shady.cannonball
CN,116.243766,40.02016,116.243801,40.020187,"Mentougou, Beijing",116.243783,40.020173,chest.shady.chickens,en,https://w3w.co/chest.shady.chickens
UY,-58.253445,-33.984368,-58.253413,-33.984341,"Carmelo, Colonia",-58.253429,-33.984355,chest.shady.diet,en,https://w3w.co/chest.shady.diet
MY,100.957305,4.778002,100.957332,4.778029,"Kuala Kangsar, Perak",100.957319,4.778016,chest.shady.misfits,en,https://w3w.co/chest.shady.misfits
CN,130.35663,46.868289,130.35667,46.868316,"Jiamusi, Heilongjiang",130.35665,46.868303,chest.shady.parrot,en,https://w3w.co/chest.shady.parrot
ZZ,170.953199,24.716931,170.953229,24.716958,,170.953214,24.716944,chest.shady.rowboat,en,https://w3w.co/chest.shady.rowboat
CA,-116.306796,70.927501,-116.306713,70.927528,"Ulukhaktok, Northwest Territories",-116.306754,70.927515,chest.shady.skulls,en,https://w3w.co/chest.shady.skulls
US,-84.228886,39.727684,-84.228851,39.727711,"Moraine, Ohio",-84.228869,39.727698,chest.shady.turkey,en,https://w3w.co/chest.shady.turkey
ZZ,-130.16855,53.07983,-130.168506,53.079857,"Prince Rupert, British Columbia",-130.168528,53.079843,chest.skulls.cannonball,en,https://w3w.co/chest.skulls.cannonball
NL,4.503165,51.579237,4.503208,51.579264,"Zegge, North Brabant",4.503187,51.57925,chest.skulls.chickens,en,https://w3w.co/chest.skulls.chickens
CA,-104.277804,69.855218,-104.277726,69.855245,"Cambridge Bay, Nunavut",-104.277765,69.855231,chest.skulls.diet,en,https://w3w.co/chest.skulls.diet
CA,-93.467206,67.654619,-93.467135,67.654646,"Gjoa Haven, Nunavut",-93.467171,67.654633,chest.skulls.misfits,en,https://w3w.co/chest.skulls.misfits
CA,-87.045738,49.527841,-87.045696,49.527868,"Greenstone, Ontario",-87.045717,49.527854,chest.skulls.parrot,en,https://w3w.co/chest.skulls.parrot
ZZ,174.327228,16.617346,174.327256,16.617373,,174.327242,16.617359,chest.skulls.rowboat,en,https://w3w.co/chest.skulls.rowboat
CA,-122.723372,59.985958,-122.723318,59.985985,"Fort Nelson, British Columbia",-122.723345,59.985972,chest.skulls.shady,en,https://w3w.co/chest.skulls.shady
CA,-104.896124,56.176477,-104.896076,56.176504,"La Ronge, Saskatchewan",-104.8961,56.17649,chest.skulls.turkey,en,https://w3w.co/chest.skulls.turkey
ZZ,145.685891,52.320289,145.685935,52.320316,"Nogliki, Sakhalin Oblast",145.685913,52.320302,chest.turkey.cannonball,en,https://w3w.co/chest.turkey.cannonball
JP,139.853105,35.647127,139.853138,35.647154,"Urayasu, Chiba",139.853122,35.64714,chest.turkey.chickens,en,https://w3w.co/chest.turkey.chickens
PE,-76.896882,-12.221459,-76.896854,-12.221432,"Santiago de Surco, Lima region",-76.896868,-12.221445,chest.turkey.diet,en,https://w3w.co/chest.turkey.diet
AE,55.40389,25.196636,55.403919,25.196663,Dubai,55.403905,25.19665,chest.turkey.misfits,en,https://w3w.co/chest.turkey.misfits
